epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,827.835,1.12138,2.70587,1.16847,0.505,0.32777,0.32744,0.2398,1.01944,1.66617,1.28684,0.00333251,0.00333251,0.00333251
2,1619.37,0.98197,1.28416,1.10049,0.479,0.43618,0.38523,0.28621,0.95138,1.43772,1.23793,0.00653386,0.00653386,0.00653386
3,2402.64,0.95834,1.1275,1.10195,0.43534,0.48833,0.40288,0.30038,0.93616,1.3884,1.23709,0.00960321,0.00960321,0.00960321
4,3188.03,0.9257,0.98948,1.09636,0.42403,0.56121,0.42478,0.31932,0.90514,1.31323,1.22271,0.009406,0.009406,0.009406
5,3966.43,0.88954,0.88398,1.08094,0.42072,0.57149,0.43042,0.32551,0.89752,1.34236,1.21388,0.009208,0.009208,0.009208
6,4744.5,0.87031,0.8345,1.0723,0.4496,0.59723,0.44654,0.33773,0.88367,1.29912,1.2036,0.00901,0.00901,0.00901
7,14840.7,0.85408,0.80237,1.06614,0.45309,0.61137,0.44713,0.34114,0.87336,1.31078,1.19762,0.008812,0.008812,0.008812
8,15622.2,0.84443,0.78297,1.06097,0.47005,0.59287,0.45488,0.34654,0.86807,1.30833,1.19188,0.008614,0.008614,0.008614
9,16403.1,0.83698,0.76925,1.05748,0.47013,0.62013,0.45834,0.34893,0.86416,1.3022,1.1913,0.008416,0.008416,0.008416
10,17184.1,0.83007,0.75419,1.05576,0.46009,0.62829,0.46058,0.35124,0.8617,1.29573,1.18929,0.008218,0.008218,0.008218
11,17965,0.82388,0.74405,1.05444,0.45943,0.63912,0.46185,0.35356,0.85463,1.30235,1.18492,0.00802,0.00802,0.00802
12,18745.7,0.81717,0.73457,1.05031,0.46898,0.63527,0.46315,0.3541,0.85407,1.29705,1.18449,0.007822,0.007822,0.007822
13,19526.8,0.81385,0.72779,1.04885,0.48601,0.63183,0.46406,0.3554,0.85064,1.29266,1.18329,0.007624,0.007624,0.007624
14,20309.2,0.80857,0.71819,1.04586,0.48909,0.63172,0.46557,0.357,0.84946,1.29031,1.18279,0.007426,0.007426,0.007426
15,21090.6,0.80354,0.71228,1.04349,0.47477,0.63281,0.46598,0.35749,0.8475,1.28849,1.18135,0.007228,0.007228,0.007228
16,21870.1,0.80165,0.70974,1.04267,0.47681,0.63194,0.46663,0.35813,0.84627,1.28725,1.18042,0.00703,0.00703,0.00703
17,22649.1,0.79697,0.70335,1.04069,0.49363,0.62966,0.46707,0.35856,0.84479,1.28553,1.18003,0.006832,0.006832,0.006832
18,23428.3,0.79378,0.69935,1.03994,0.49403,0.63238,0.46714,0.35876,0.8438,1.28519,1.17943,0.006634,0.006634,0.006634
19,24207.2,0.79171,0.69599,1.03805,0.49341,0.63602,0.46719,0.35909,0.84229,1.28263,1.17818,0.006436,0.006436,0.006436
20,24986.1,0.78549,0.68393,1.03518,0.49487,0.63594,0.46792,0.35982,0.84093,1.28192,1.1774,0.006238,0.006238,0.006238
21,25764.7,0.78404,0.68438,1.03483,0.48042,0.64265,0.46821,0.35993,0.8392,1.28056,1.17658,0.00604,0.00604,0.00604
22,26543.3,0.78015,0.67987,1.03339,0.48061,0.64731,0.46892,0.36103,0.8375,1.27992,1.17618,0.005842,0.005842,0.005842
23,27322,0.77804,0.67528,1.0325,0.48014,0.64872,0.46921,0.36145,0.83566,1.27845,1.1756,0.005644,0.005644,0.005644
24,28100.6,0.7736,0.66774,1.02992,0.47991,0.64899,0.46992,0.36207,0.83378,1.27631,1.17477,0.005446,0.005446,0.005446
