epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.905,1.25367,1.41726,1.14489,0.94843,0.86196,0.91726,0.58679,1.24912,0.84507,1.17123,0.000665158,0.000665158,0.000665158
2,213.491,1.26144,0.84169,1.14947,0.95325,0.87062,0.92386,0.58422,1.24764,0.76259,1.19619,0.00130545,0.00130545,0.00130545
3,329.503,1.24774,0.76092,1.14666,0.93805,0.87611,0.92569,0.59367,1.28232,0.70498,1.18608,0.00191935,0.00191935,0.00191935
4,448.792,1.23565,0.7292,1.1403,0.95542,0.89476,0.93558,0.62484,1.21133,0.65557,1.1363,0.0018812,0.0018812,0.0018812
5,573.721,1.20722,0.67807,1.12571,0.93814,0.89613,0.93131,0.61347,1.18239,0.64587,1.15492,0.0018416,0.0018416,0.0018416
6,705.115,1.18739,0.64864,1.11714,0.97593,0.90888,0.95145,0.64384,1.18249,0.56853,1.13356,0.001802,0.001802,0.001802
7,838.805,1.17988,0.62101,1.10776,0.96766,0.91324,0.95173,0.644,1.17254,0.56458,1.12286,0.0017624,0.0017624,0.0017624
8,977.884,1.16039,0.61137,1.10208,0.96757,0.90888,0.94966,0.6475,1.1609,0.5613,1.10875,0.0017228,0.0017228,0.0017228
9,1118.54,1.16159,0.61484,1.10088,0.97766,0.91754,0.95637,0.65217,1.17326,0.5425,1.1135,0.0016832,0.0016832,0.0016832
10,1264.26,1.14105,0.58564,1.08573,0.96881,0.91988,0.95756,0.65785,1.15312,0.53622,1.09191,0.0016436,0.0016436,0.0016436
11,1406.07,1.13778,0.58059,1.08131,0.96929,0.93477,0.96234,0.66615,1.1175,0.51051,1.08025,0.001604,0.001604,0.001604
12,1547.06,1.12841,0.56995,1.07712,0.98023,0.92574,0.95931,0.66857,1.12222,0.50074,1.0833,0.0015644,0.0015644,0.0015644
13,1688.27,1.13162,0.55386,1.08107,0.97638,0.92293,0.95794,0.66095,1.12913,0.50583,1.08985,0.0015248,0.0015248,0.0015248
14,1833.15,1.11398,0.54696,1.07241,0.97407,0.92429,0.96127,0.67806,1.11095,0.48996,1.07299,0.0014852,0.0014852,0.0014852
15,1977.27,1.12182,0.54685,1.08062,0.97408,0.93349,0.96393,0.66988,1.12083,0.48027,1.07174,0.0014456,0.0014456,0.0014456
16,2123.43,1.10389,0.53126,1.06623,0.9845,0.92627,0.96528,0.67967,1.11444,0.47685,1.07221,0.001406,0.001406,0.001406
17,2266.02,1.092,0.5213,1.06202,0.97989,0.93247,0.96342,0.66503,1.11735,0.47579,1.07581,0.0013664,0.0013664,0.0013664
18,2413.24,1.09316,0.52131,1.06472,0.97918,0.92346,0.9654,0.68916,1.09513,0.46449,1.06704,0.0013268,0.0013268,0.0013268
19,2559.08,1.09188,0.521,1.06306,0.97978,0.93212,0.96541,0.68214,1.11135,0.47418,1.07162,0.0012872,0.0012872,0.0012872
20,2695.26,1.07854,0.50571,1.05701,0.98513,0.92984,0.96784,0.6873,1.09587,0.44956,1.06132,0.0012476,0.0012476,0.0012476
21,2840.87,1.0794,0.50269,1.0538,0.98086,0.93403,0.97038,0.67989,1.11642,0.44731,1.05742,0.001208,0.001208,0.001208
22,2991.58,1.08403,0.49987,1.05496,0.98131,0.93304,0.9693,0.68595,1.09101,0.45541,1.06027,0.0011684,0.0011684,0.0011684
23,3131.83,1.07297,0.49716,1.04991,0.98157,0.93804,0.96845,0.69023,1.07784,0.43743,1.0483,0.0011288,0.0011288,0.0011288
24,3266.53,1.06417,0.4886,1.05268,0.97435,0.93986,0.9694,0.68375,1.08929,0.44189,1.05694,0.0010892,0.0010892,0.0010892
25,3417.41,1.06675,0.48866,1.05222,0.97622,0.93521,0.96677,0.68817,1.086,0.43965,1.06022,0.0010496,0.0010496,0.0010496
26,3565.8,1.06266,0.48632,1.0522,0.98046,0.93715,0.96957,0.68397,1.0785,0.44285,1.06007,0.00101,0.00101,0.00101
27,3713.53,1.05698,0.48146,1.04632,0.9829,0.93986,0.97076,0.69041,1.08769,0.43606,1.05742,0.0009704,0.0009704,0.0009704
28,3855.06,1.05423,0.47822,1.0435,0.98601,0.9314,0.96991,0.68883,1.07533,0.43337,1.05451,0.0009308,0.0009308,0.0009308
29,3958.33,1.04151,0.46624,1.04203,0.98282,0.93812,0.97254,0.70036,1.0719,0.42419,1.04939,0.0008912,0.0008912,0.0008912
30,4055.75,1.04519,0.47078,1.04375,0.97912,0.93804,0.9735,0.69829,1.07507,0.42536,1.05105,0.0008516,0.0008516,0.0008516
31,4477.93,1.02605,0.45674,1.03115,0.97948,0.93941,0.974,0.70875,1.06778,0.41646,1.04676,0.000812,0.000812,0.000812
32,5034.21,1.02972,0.45514,1.03118,0.98498,0.93349,0.97252,0.7048,1.06869,0.41789,1.04686,0.0007724,0.0007724,0.0007724
33,5373.06,1.02957,0.45261,1.03354,0.98034,0.94123,0.97364,0.69761,1.0766,0.40622,1.04806,0.0007328,0.0007328,0.0007328
34,5478.23,1.02182,0.44898,1.03129,0.98146,0.94079,0.97352,0.69847,1.07363,0.40987,1.04809,0.0006932,0.0006932,0.0006932
35,5584.87,1.0208,0.45156,1.03331,0.98274,0.94351,0.97147,0.71009,1.05621,0.40041,1.03847,0.0006536,0.0006536,0.0006536
36,5682.51,1.01987,0.44626,1.02949,0.98072,0.95006,0.97289,0.70236,1.05567,0.40062,1.04146,0.000614,0.000614,0.000614
37,5780.9,1.01826,0.44405,1.02839,0.98155,0.94351,0.97228,0.7085,1.05424,0.40101,1.03811,0.0005744,0.0005744,0.0005744
38,5879.3,1.00229,0.43395,1.01678,0.98937,0.94214,0.97512,0.70516,1.06049,0.39999,1.03665,0.0005348,0.0005348,0.0005348
39,5978.86,1.00938,0.43519,1.02352,0.98434,0.94483,0.97536,0.70579,1.05667,0.396,1.03817,0.0004952,0.0004952,0.0004952
40,6077.84,0.9893,0.43094,1.01709,0.98054,0.94305,0.97443,0.70598,1.05551,0.39665,1.03932,0.0004556,0.0004556,0.0004556
41,6214.53,0.99151,0.38772,1.02707,0.99203,0.93531,0.97415,0.70675,1.06243,0.39834,1.03725,0.000416,0.000416,0.000416
42,6315.64,0.98525,0.38376,1.02466,0.98137,0.94351,0.9742,0.70871,1.05756,0.39248,1.0369,0.0003764,0.0003764,0.0003764
43,6415.38,0.97747,0.37588,1.02369,0.9829,0.94305,0.97188,0.7079,1.05637,0.39771,1.04296,0.0003368,0.0003368,0.0003368
44,6516.44,0.9673,0.37691,1.01817,0.98656,0.94123,0.97278,0.70906,1.05852,0.39743,1.04115,0.0002972,0.0002972,0.0002972
45,6616.5,0.96128,0.37018,1.01237,0.989,0.94223,0.97166,0.70675,1.05578,0.39428,1.04239,0.0002576,0.0002576,0.0002576
46,6717.72,0.95905,0.36596,1.00989,0.99165,0.94032,0.97224,0.707,1.05247,0.39039,1.03693,0.000218,0.000218,0.000218
47,6818.77,0.95104,0.3611,1.00961,0.98917,0.94214,0.97407,0.71211,1.04912,0.38774,1.03596,0.0001784,0.0001784,0.0001784
48,6918.22,0.94183,0.35507,1.00585,0.99041,0.94065,0.97301,0.71082,1.04927,0.38844,1.03569,0.0001388,0.0001388,0.0001388
49,7017.51,0.93765,0.35227,1.00534,0.9885,0.93996,0.97333,0.71146,1.04998,0.38477,1.0347,9.92e-05,9.92e-05,9.92e-05
50,7117.7,0.9317,0.34835,1.0027,0.98986,0.93941,0.97394,0.71295,1.04672,0.38187,1.033,5.96e-05,5.96e-05,5.96e-05
