epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7017,1.05569,2.75987,1.37961,0.43569,0.30089,0.30991,0.19092,1.23145,2.69758,1.66918,0.0003636,0.0003636,0.0003636
2,28.4871,1.13653,2.2073,1.41572,0.25632,0.4951,0.32525,0.19312,1.24822,2.55468,1.63143,0.000719401,0.000719401,0.000719401
3,41.7732,1.18456,2.14283,1.46647,0.3155,0.2635,0.24556,0.14353,1.46525,2.70142,1.8739,0.00106054,0.00106054,0.00106054
4,54.7607,1.20319,2.07179,1.49509,0.29679,0.25212,0.17845,0.08951,1.69807,3.45865,1.97444,0.00104501,0.00104501,0.00104501
5,67.7277,1.19829,1.95983,1.45271,0.38372,0.37662,0.32274,0.174,1.53645,3.15851,1.94597,0.00102301,0.00102301,0.00102301
6,80.7333,1.18894,1.8675,1.45109,0.28063,0.36536,0.2768,0.17836,1.44261,2.42585,1.8237,0.00100101,0.00100101,0.00100101
7,94.6181,1.16098,1.79382,1.43429,0.43268,0.42829,0.42888,0.27519,1.42454,1.96925,1.73617,0.000979013,0.000979013,0.000979013
8,107.972,1.09737,1.66092,1.38433,0.52201,0.42945,0.42721,0.25186,1.43328,1.98419,1.74558,0.000957015,0.000957015,0.000957015
9,121.127,1.12185,1.62345,1.39201,0.4794,0.47769,0.41117,0.27723,1.35411,2.13208,1.72112,0.000935018,0.000935018,0.000935018
10,134.226,1.10051,1.51081,1.36956,0.52933,0.48952,0.44407,0.29182,1.33913,1.9952,1.69569,0.00091302,0.00091302,0.00091302
11,147.283,1.06608,1.51196,1.3458,0.44568,0.49684,0.43669,0.28611,1.34954,2.06393,1.73515,0.000891022,0.000891022,0.000891022
12,160.541,1.04317,1.43212,1.3481,0.61096,0.48187,0.49759,0.32288,1.34908,1.78483,1.6599,0.000869024,0.000869024,0.000869024
13,173.594,1.00827,1.34964,1.32772,0.62339,0.40453,0.46256,0.32543,1.28084,1.9005,1.63802,0.000847026,0.000847026,0.000847026
14,186.696,1.03029,1.36214,1.33976,0.57153,0.45581,0.49109,0.31826,1.28773,1.72842,1.63291,0.000825029,0.000825029,0.000825029
15,199.642,0.99253,1.32325,1.31905,0.52018,0.48552,0.47607,0.29586,1.30754,1.8321,1.65796,0.000803031,0.000803031,0.000803031
16,212.698,0.94936,1.25222,1.28005,0.6794,0.53206,0.54264,0.32829,1.37687,1.73157,1.70754,0.000781033,0.000781033,0.000781033
17,225.874,0.97982,1.23339,1.29382,0.55317,0.53994,0.52535,0.35747,1.32256,1.66468,1.66639,0.000759035,0.000759035,0.000759035
18,239.05,0.94919,1.1937,1.2737,0.62795,0.4559,0.49052,0.34919,1.25667,1.83741,1.58071,0.000737037,0.000737037,0.000737037
19,252.149,0.95937,1.17409,1.27852,0.70503,0.45642,0.52577,0.35624,1.30957,1.61386,1.6175,0.00071504,0.00071504,0.00071504
20,265.163,0.92869,1.11545,1.25632,0.53626,0.54392,0.5445,0.37592,1.26431,1.63041,1.59031,0.000693042,0.000693042,0.000693042
21,278.022,0.9049,1.09006,1.24757,0.54984,0.57061,0.56494,0.41043,1.20828,1.61968,1.54862,0.000671044,0.000671044,0.000671044
22,291.084,0.89405,1.06533,1.24367,0.60371,0.48045,0.51686,0.37116,1.23179,1.6673,1.58889,0.000649046,0.000649046,0.000649046
23,304.189,0.86486,1.00935,1.21892,0.55188,0.52389,0.56263,0.37458,1.33381,1.67536,1.70558,0.000627048,0.000627048,0.000627048
24,317.323,0.87685,0.99108,1.21975,0.58922,0.53105,0.55272,0.38501,1.18205,1.60576,1.53207,0.000605051,0.000605051,0.000605051
25,330.238,0.85829,0.96069,1.21324,0.59111,0.53944,0.52478,0.36155,1.24067,1.73634,1.5928,0.000583053,0.000583053,0.000583053
26,343.199,0.83561,0.95662,1.19283,0.64032,0.497,0.50798,0.35794,1.26436,1.83453,1.61798,0.000561055,0.000561055,0.000561055
27,356.209,0.84629,0.94152,1.19802,0.58248,0.55508,0.53956,0.39659,1.18477,1.56312,1.54185,0.000539057,0.000539057,0.000539057
28,369.225,0.80969,0.91425,1.18378,0.54591,0.51671,0.53897,0.38655,1.20493,1.60517,1.54287,0.000517059,0.000517059,0.000517059
29,382.274,0.81563,0.87712,1.17314,0.49492,0.55654,0.52257,0.36459,1.28039,1.75418,1.64863,0.000495062,0.000495062,0.000495062
30,395.182,0.80707,0.86133,1.17864,0.57789,0.49419,0.52656,0.35791,1.33046,1.70718,1.72176,0.000473064,0.000473064,0.000473064
31,408.155,0.78174,0.86043,1.16594,0.54437,0.55523,0.5357,0.37197,1.21751,1.70506,1.55451,0.000451066,0.000451066,0.000451066
32,421.251,0.77087,0.83222,1.1573,0.60221,0.53844,0.57498,0.40964,1.20532,1.59325,1.54417,0.000429068,0.000429068,0.000429068
33,434.357,0.76474,0.81652,1.1526,0.57237,0.53439,0.5619,0.40743,1.21365,1.57357,1.5596,0.00040707,0.00040707,0.00040707
34,447.323,0.75428,0.78603,1.14326,0.55445,0.56801,0.55446,0.3971,1.2023,1.59267,1.56443,0.000385073,0.000385073,0.000385073
35,460.254,0.72421,0.75622,1.1331,0.67162,0.44507,0.50606,0.36072,1.19425,1.86952,1.5633,0.000363075,0.000363075,0.000363075
36,473.206,0.73364,0.76583,1.11416,0.63158,0.50812,0.54266,0.37943,1.23927,1.6553,1.59817,0.000341077,0.000341077,0.000341077
37,486.112,0.73499,0.74795,1.12482,0.61047,0.55761,0.57713,0.41454,1.16727,1.53219,1.55966,0.000319079,0.000319079,0.000319079
38,499.135,0.69911,0.71272,1.11391,0.6077,0.49493,0.55906,0.39671,1.24957,1.51825,1.65413,0.000297081,0.000297081,0.000297081
39,512.15,0.69354,0.69425,1.1007,0.65959,0.57372,0.5962,0.40246,1.2184,1.43017,1.63726,0.000275084,0.000275084,0.000275084
40,525.146,0.70819,0.69331,1.10294,0.70101,0.51478,0.58408,0.42294,1.23115,1.55333,1.63583,0.000253086,0.000253086,0.000253086
41,579.945,0.62592,0.60754,1.0534,0.52907,0.5657,0.53381,0.36989,1.22864,1.69619,1.60855,0.000231088,0.000231088,0.000231088
42,593.159,0.60681,0.55007,1.04199,0.74453,0.51106,0.6079,0.43084,1.16386,1.48213,1.56378,0.00020909,0.00020909,0.00020909
43,606.158,0.58144,0.53796,1.03223,0.58642,0.56978,0.55756,0.40825,1.16326,1.65485,1.52373,0.000187092,0.000187092,0.000187092
44,619.333,0.57512,0.52533,1.03158,0.69977,0.47958,0.57472,0.43013,1.11458,1.49904,1.50478,0.000165095,0.000165095,0.000165095
45,632.447,0.56176,0.49659,0.99739,0.55349,0.57698,0.57375,0.42719,1.14116,1.53224,1.52155,0.000143097,0.000143097,0.000143097
46,645.783,0.54839,0.48864,1.00109,0.63129,0.54565,0.56915,0.42021,1.16435,1.52405,1.56229,0.000121099,0.000121099,0.000121099
47,658.707,0.52811,0.45481,0.98529,0.63545,0.54703,0.58728,0.42837,1.15388,1.49347,1.54286,9.91012e-05,9.91012e-05,9.91012e-05
